Mod:Item:MetaData, Localized Name
divinerpg:acidBlock, Кислотный блок
divinerpg:greenEverstone, Зелёный вечный камень
divinerpg:lunicAcid, Лунная кислота
divinerpg:firewoodLeaves, Огненная листва
divinerpg:hyrewoodLeaves, Хайровая листва
divinerpg:greenGemTop, Зелёная жемчужина
divinerpg:purpleGemTop, Фиолетовая жемчужина
divinerpg:purpleDulah, Фиолетовый дулах
divinerpg:yellowDulah, Жёлтый дулах
divinerpg:greenDulah, Зелёный дулах
divinerpg:mintwoodLog, Мятная древесина
divinerpg:crackleSpike, Потрескавшийся шип
divinerpg:fernite, Фернит
divinerpg:bulbatobe, Булбатоб
divinerpg:shineGrass, Блестящая трава
divinerpg:shimmer, Мерцание
divinerpg:hiveWalls, Стены улья
divinerpg:dreamglow, Свечение мечты
divinerpg:hyreWoodVine, Хайровая лоза
divinerpg:chamberWall1, Стена комнаты
divinerpg:chamberWall2, Стена комнаты
divinerpg:chamberWall3, Стена комнаты
divinerpg:whiteEverstone, Белый вечный камень
divinerpg:darkEverstone, Тёмный вечный камень
divinerpg:blackHungerstone, Чёрный камень голода
divinerpg:greenHungerstone, Зелёный камень голода
divinerpg:cryptFloor, Пол склепа
divinerpg:hallWall, Стены зала
divinerpg:blueKarosBricks, Синие кирпичи Кароса
divinerpg:blackKarosBricks, Чёрные кирпичи Кароса
divinerpg:infusionTable, Стол наполнения
divinerpg:helioticBeam, Хелиотичный луч
divinerpg:karosCannonBlock, Пушка Кароса
divinerpg:nightmareBedBlock, Блок кровати кошмаров
divinerpg:divineSlab:0, Божественная Плита
divinerpg:divineSlabDouble:0, Божественная Плита
divinerpg:edenDirt, Земля Эдема
divinerpg:wildwoodDirt, Земля Дикого леса
divinerpg:apalachiaDirt, Земля Апалачии
divinerpg:skythernDirt, Земля Небесного терна
divinerpg:mortumDirt, Земля Мортума
divinerpg:edenGrass, Трава Эдема
divinerpg:wildwoodGrass, Трава Дикого леса
divinerpg:apalachiaGrass, Трава Апалачии
divinerpg:skythernGrass, Трава Небесного терна
divinerpg:mortumGrass, Трава Мортума
divinerpg:edenOre, Руда Эдема
divinerpg:wildwoodOre, Руда Дикого леса
divinerpg:apalachiaOre, Руда Апалачии
divinerpg:skythernOre, Руда Небесного терна
divinerpg:mortumOre, Руда Мортума
divinerpg:edenBlock, Блок Эдема
divinerpg:wildwoodBlock, Блок Дикого леса
divinerpg:apalachiaBlock, Блок Апалачии
divinerpg:skythernBlock, Блок Небесного терна
divinerpg:mortumBlock, Блок Мортума
divinerpg:edenSapling, Саженец Эдема
divinerpg:wildwoodSapling, Саженец  Дикого леса
divinerpg:apalachiaSapling, Саженец Апалачии
divinerpg:skythernSapling, Саженец Небесного терна
divinerpg:mortumSapling, Саженец Мортума
divinerpg:edenLeaves, Листва Эдема
divinerpg:wildwoodLeaves, Листва Дикого леса
divinerpg:apalachiaLeaves, Листва Апалачии
divinerpg:skythernLeaves, Листва Небесного терна
divinerpg:mortumLeaves, Листва Мортума
divinerpg:edenLog, Древесина Эдема
divinerpg:wildwoodLog, Древесина Дикого леса
divinerpg:apalachiaLog, Древесина Апалачии
divinerpg:skythernLog, Древесина Небесного терна
divinerpg:mortumLog, Древесина Мортума
divinerpg:edenPlanks, Доски Эдема
divinerpg:wildwoodPlanks, Доски  Дикого леса
divinerpg:apalachiaPlanks, Доски Апалачии
divinerpg:skythernPlanks, Доски Небесного терна
divinerpg:mortumPlanks, Доски Мортума
divinerpg:edenStairs, Ступеньки Эдема
divinerpg:wildwoodStairs, Ступеньки  Дикого леса
divinerpg:apalachiaStairs, Ступеньки Апалачии
divinerpg:skythernStairs, Ступеньки Небесного терна
divinerpg:mortumStairs, Ступеньки Мортума
divinerpg:twilightStone, Сумеречный камень
divinerpg:wildwoodVine, Лоза Дикого леса
divinerpg:blueFire, Синий Огонь
divinerpg:edenPortal, Портал Эдема
divinerpg:wildwoodPortal, Портал Дикого леса
divinerpg:apalachiaPortal, Портал Апалачии
divinerpg:skythernPortal, Портал Небесного терна
divinerpg:mortumPortal, Портал Мортума
divinerpg:edenTorch, Факел Эдема
divinerpg:edenChest, Сундук Эдема
divinerpg:apalachiaRails, Рельсы Апалачии
divinerpg:moonbulbPlant, Лунная луковица
divinerpg:purpleGlowbonePlant, Фиолетовая светокость
divinerpg:pinkGlowbonePlant, Розовая светокость
divinerpg:skyPlant, Небесное Растение
divinerpg:sunbloom, Солнцецвет
divinerpg:edenBrush, Кустарник Эдема
divinerpg:sunBlossom, Солнечный цветок
divinerpg:moonlightFern, Папоротник лунного света
divinerpg:moonBud, Бутон Луны
divinerpg:wildwoodTallgrass, Высокая трава Дикого леса
divinerpg:duskFlower, Сумеречный цветок
divinerpg:duskBloom, Сумеречный цвет
divinerpg:apalachiaTallgrass, Высокая трава Апалачии
divinerpg:skythernBrush, Кустарник Небесного терна
divinerpg:dustLily, Пыльная лилия
divinerpg:dustBrambles, Пыльные колючки
divinerpg:demonBrambles, Демонические колючки
divinerpg:eyePlant, Ростки Ока
divinerpg:mortumBrush, Кустарник Мортума
divinerpg:edenSlab:0, Плита Эдема
divinerpg:edenSlabDouble:0, Плита Эдема
divinerpg:wildwoodSlab:0, Плита  Дикого леса
divinerpg:wildwoodSlabDouble:0, Плита  Дикого леса
divinerpg:apalachiaSlab:0, Плита Апалачии
divinerpg:apalachiaSlabDouble:0, Плита Апалачии
divinerpg:skythernSlab:0, Плита Небесного терна
divinerpg:skythernSlabDouble:0, Плита Небесного терна
divinerpg:mortumSlab:0, Плита Мортума
divinerpg:mortumSlabDouble:0, Плита Мортума
divinerpg:arcaniteDirt, Аркановая земля
divinerpg:arcaniteGrass, Трава Арканы
divinerpg:arcaniumOre, Аркановая руда
divinerpg:arcaniumMetal, Аркановый металл
divinerpg:arcaniteTubes, Аркановые трубы
divinerpg:arcaniumPower, Аркановая мощь
divinerpg:dungeonLamp, Подземная лампа
divinerpg:heatTrap, Огненная ловушка
divinerpg:heatTrapOn, Огненная ловушка
divinerpg:soulStone, Камень душ
divinerpg:soulSludge, Осадок душ
divinerpg:degradedBrick, Испорченные кирпичи
divinerpg:darkDegradedBrick, Тёмные испорченные кирпичи
divinerpg:ancientBrick, Древний кирпич
divinerpg:ancientStone, Древний камень
divinerpg:lightDegradedBrick, Светлые испорченные кирпичи
divinerpg:stainedGlass, Окрашенное стекло
divinerpg:stainedGlass2, Окрашенное стекло
divinerpg:stainedGlass3, Окрашенное стекло
divinerpg:stainedGlass4, Окрашенное стекло
divinerpg:stainedGlass5, Окрашенное стекло
divinerpg:stainedGlass6, Окрашенное стекло
divinerpg:stainedGlass7, Окрашенное стекло
divinerpg:stainedGlass8, Окрашенное стекло
divinerpg:dungeonPrisonerSpawner, Спаунер Подземельного заключённого
divinerpg:razorbackSpawner, Спаунер Разорбека
divinerpg:deathHoundSpawner, Спаунер гончей смерти
divinerpg:deathcryxSpawner, Спаунер Дефкрикса
divinerpg:livingStatueSpawner, Спаунер Живой статуи
divinerpg:roamerSpawner, Спаунер Бродяги
divinerpg:ancientTile, Древняя плитка
divinerpg:starBridge, Звёздный мост
divinerpg:starBridgeOn, Звёздный мост
divinerpg:soulSludgeDoor, Дверь из осадка душ
divinerpg:ancientBrickDoor, Дверь из древнего кирпича
divinerpg:soulStoneDoor, Дверь из камня душ
divinerpg:degradedBrickDoor, Дверь из ржавого кирпича
divinerpg:dramixAltar, Драмиксовый алтарь
divinerpg:parasectaAltar, Парасектовый алтарь
divinerpg:arcanaExtractor, Аркановый экстрактор
divinerpg:arcanaPortal, Портал Арканы
divinerpg:arcanaPortalFrame, Рамка портала Арканы
divinerpg:arcanaHardPortalFrame, Рамка усложнённого портала Арканы
divinerpg:aquamarinePlant, Аквамариновое растение
divinerpg:eucalyptusPlant, Эвкалипт
divinerpg:hitchakPlant, Хитчак
divinerpg:veiloPlant, Вейло
divinerpg:lamonaPlant, Ламона
divinerpg:marsinePlant, Марсин
divinerpg:firestockPlant, Файрсток
divinerpg:pinflyPlant, Пинфлай
divinerpg:eucalyptus, Эвкалипт
divinerpg:eucalyptusPlanks, Доски из эвкалипта
divinerpg:greenlightFurnace, Печь зелёного света
divinerpg:greenlightFurnaceOn, Печь зелёного света
divinerpg:oceanfireFurnace, Печка океанского огня
divinerpg:oceanfireFurnaceOn, Печь океанского огня
divinerpg:moltenFurnace, Расплавленная печь
divinerpg:moltenFurnaceOn, Расплавленная печь
divinerpg:whitefireFurnace, Печь белого огня
divinerpg:whitefireFurnaceOn, Печь белого огня
divinerpg:moonlightFurnace, Печь лунного света
divinerpg:moonlightFurnaceOn, Печь лунного света
divinerpg:demonFurnace, Демоническая печь
divinerpg:demonFurnaceOn, Демоническая печь
divinerpg:arcaniumTorch, Факел Арканы
divinerpg:elevantium, Элевантиум
divinerpg:arcaniteRails, Арканитовые рельсы
divinerpg:acceleron, Асселерон
Thaumcraft:blockFluxGoo:0, Заражённая слизь
Thaumcraft:blockFluxGas:0, Заражённый газ
Thaumcraft:blockFluidPure, Очищающая жидкость
Thaumcraft:blockFluidDeath, Жидкая смерть
Thaumcraft:blockCustomOre:0, Киноварь
Thaumcraft:blockCustomOre:1, Грозовая руда
Thaumcraft:blockCustomOre:2, Огненная руда
Thaumcraft:blockCustomOre:3, Ледяная руда
Thaumcraft:blockCustomOre:4, Руда земляного кристалла
Thaumcraft:blockCustomOre:5, Руда кристалла порядка
Thaumcraft:blockCustomOre:6, Энтропийная руда
Thaumcraft:blockCustomOre:7, Янтарная руда
Thaumcraft:blockMagicalLog:0, Древесина великого дерева
Thaumcraft:blockMagicalLog:1, Древесина серебряного дерева
Thaumcraft:blockMagicalLeaves:0, Листва великого дерева
Thaumcraft:blockMagicalLeaves:1, Листва серебряного дерева
Thaumcraft:blockCustomPlant:0, Саженец великого дерева
Thaumcraft:blockCustomPlant:1, Саженец серебрянного дерева
Thaumcraft:blockCustomPlant:2, Сребролист
Thaumcraft:blockCustomPlant:3, Огненный жемчуг
Thaumcraft:blockCustomPlant:4, Эфирный цветок
Thaumcraft:blockCustomPlant:5, Висомор
Thaumcraft:blockTaint:0, Заражённый камень
Thaumcraft:blockTaint:1, Заражённая земля
Thaumcraft:blockTaint:2, Блок плоти
Thaumcraft:blockTaintFibres:0, Заражённое волокно
Thaumcraft:blockTaintFibres:1, Заражённая трава
Thaumcraft:blockTaintFibres:2, Заражённое растение
Thaumcraft:blockTaintFibres:3, Спороцвет
Thaumcraft:blockCosmeticOpaque:0, Янтарный блок
Thaumcraft:blockCosmeticOpaque:1, Янтарный кирпич
Thaumcraft:blockCosmeticOpaque:2, Усиленное стекло
Thaumcraft:blockCosmeticSolid:0, Обсидиановый тотем
Thaumcraft:blockCosmeticSolid:1, Обсидиановая основа
Thaumcraft:blockCosmeticSolid:2, Камень путешественника
Thaumcraft:blockCosmeticSolid:3, Камень сдерживания
Thaumcraft:blockCosmeticSolid:4, Блок таум-металла
Thaumcraft:blockCosmeticSolid:5, Блок магического жира
Thaumcraft:blockCosmeticSolid:6, Магический камень
Thaumcraft:blockCosmeticSolid:7, Магический кирпич
Thaumcraft:blockCosmeticSolid:8, Заряженный обсидиановый тотем
Thaumcraft:blockCosmeticSolid:9, Голем-деактиватор
Thaumcraft:blockCosmeticSolid:11, Древний камень
Thaumcraft:blockCosmeticSolid:12, Древняя скала
Thaumcraft:blockCosmeticSolid:14, Заросший камень
Thaumcraft:blockCosmeticSolid:15, Древний пьедестал
Thaumcraft:blockCrystal:0, Грозовой кристальный кластер
Thaumcraft:blockCrystal:1, Огненный кристальный кластер
Thaumcraft:blockCrystal:2, Ледяной кристальный кластер
Thaumcraft:blockCrystal:3, Земляной кристальный кластер
Thaumcraft:blockCrystal:4, Кристальный кластер порядка
Thaumcraft:blockCrystal:5, Энтропийный кристальный кластер
Thaumcraft:blockCrystal:6, Смешанный кристальный кластер
Thaumcraft:blockTube:0, Труба для эссенции
Thaumcraft:blockTube:1, Клапан для эссенции
Thaumcraft:blockTube:2, Алхимическая центрифуга
Thaumcraft:blockTube:3, Фильтрующая труба для эссенции
Thaumcraft:blockTube:4, Буфер для эссенции
Thaumcraft:blockTube:5, Ограничивающая труба для эссенции
Thaumcraft:blockTube:6, Направляющая труба для эссенции
Thaumcraft:blockTube:7, Кристаллизатор эссенции
Thaumcraft:blockMetalDevice:0, Тигель
Thaumcraft:blockMetalDevice:1, Перегонный куб
Thaumcraft:blockMetalDevice:5, Железная решетка
Thaumcraft:blockMetalDevice:7, Магический светильник
Thaumcraft:blockMetalDevice:8, Светильник роста
Thaumcraft:blockMetalDevice:13, Светильник скрещивания
Thaumcraft:blockMetalDevice:9, Алхимическая конструкция
Thaumcraft:blockMetalDevice:3, Улучшенная алхимическая конструкция
Thaumcraft:blockMetalDevice:12, Мнемоническая матрица
Thaumcraft:blockMetalDevice:14, Вис-канал
Thaumcraft:blockMetalDevice:2, Вис-заряжатель
Thaumcraft:blockWoodenDevice:0, Магические меха
Thaumcraft:blockWoodenDevice:1, Магическое ухо
Thaumcraft:blockWoodenDevice:2, Магическая нажимная плита
Thaumcraft:blockWoodenDevice:4, Основа магического бура
Thaumcraft:blockWoodenDevice:5, Магический бур
Thaumcraft:blockWoodenDevice:6, Доски великого дерева
Thaumcraft:blockWoodenDevice:7, Доски серебряного дерева
Thaumcraft:blockWoodenDevice:8, Вымпел
Thaumcraft:blockWoodenDevice:8, Белый вымпел
Thaumcraft:blockWoodenDevice:8, Оранжевый вымпел
Thaumcraft:blockWoodenDevice:8, Пурпурный вымпел
Thaumcraft:blockWoodenDevice:8, Голубой вымпел
Thaumcraft:blockWoodenDevice:8, Жёлтый вымпел
Thaumcraft:blockWoodenDevice:8, Лаймовый вымпел
Thaumcraft:blockWoodenDevice:8, Розовый вымпел
Thaumcraft:blockWoodenDevice:8, Серый вымпел
Thaumcraft:blockWoodenDevice:8, Светло-серый вымпел
Thaumcraft:blockWoodenDevice:8, Бирюзовый вымпел
Thaumcraft:blockWoodenDevice:8, Фиолетовый вымпел
Thaumcraft:blockWoodenDevice:8, Синий вымпел
Thaumcraft:blockWoodenDevice:8, Коричневый вымпел
Thaumcraft:blockWoodenDevice:8, Зелёный вымпел
Thaumcraft:blockWoodenDevice:8, Красный вымпел
Thaumcraft:blockWoodenDevice:8, Чёрный вымпел
Thaumcraft:blockStoneDevice:0, Алхимическая печь
Thaumcraft:blockStoneDevice:1, Магический пьедестал
Thaumcraft:blockStoneDevice:2, Руническая матрица
Thaumcraft:blockStoneDevice:5, Пьедестал перезарядки
Thaumcraft:blockStoneDevice:8, Расщепитель аспектов
Thaumcraft:blockStoneDevice:9, Узел-стабилизатор
Thaumcraft:blockStoneDevice:10, Улучшенный узел-стабилизатор
Thaumcraft:blockStoneDevice:11, Узел-преобразователь
Thaumcraft:blockStoneDevice:12, Магическая ванна
Thaumcraft:blockStoneDevice:13, Набалдашниковый верстак
Thaumcraft:blockStoneDevice:14, Полотёр порчи
Thaumcraft:blockMirror:0, Магическое зеркало
Thaumcraft:blockMirror:6, Зеркало для эссенции
Thaumcraft:blockTable:0, Стол
Thaumcraft:blockTable:14, Стол расщепления
Thaumcraft:blockTable:15, Магический верстак
Thaumcraft:blockChestHungry, Голодный сундук
Thaumcraft:blockArcaneDoor, Магическая дверь
Thaumcraft:blockLifter, Магический подъёмник
Thaumcraft:blockMagicBox, tile.blockMagicBox.name
Thaumcraft:blockAlchemyFurnace, Улучшенная алхимическая печь
Thaumcraft:blockJar:0, Банка
Thaumcraft:blockJar:1, Мозг в банке
Thaumcraft:blockJar:3, Пустотная банка
Thaumcraft:blockCandle:0, Белая свеча
Thaumcraft:blockCandle:1, Оранжевая свеча
Thaumcraft:blockCandle:2, Сиреневая свеча
Thaumcraft:blockCandle:3, Светло-синяя свеча
Thaumcraft:blockCandle:4, Жёлтая свеча
Thaumcraft:blockCandle:5, Лаймовая свеча
Thaumcraft:blockCandle:6, Розовая свеча
Thaumcraft:blockCandle:7, Серая свеча
Thaumcraft:blockCandle:8, Светло-серая свеча
Thaumcraft:blockCandle:9, Бирюзовая свеча
Thaumcraft:blockCandle:10, Фиолетовая свеча
Thaumcraft:blockCandle:11, Синяя свеча
Thaumcraft:blockCandle:12, Коричневая свеча
Thaumcraft:blockCandle:13, Зелёная свеча
Thaumcraft:blockCandle:14, Красная свеча
Thaumcraft:blockCandle:15, Чёрная свеча
Thaumcraft:blockEldritch:4, Светящийся заросший камень
Thaumcraft:blockAiry:0, Узел ауры
Thaumcraft:blockManaPod, tile.blockManaPod.name
Thaumcraft:blockArcaneFurnace, Адская печь
Thaumcraft:blockWarded, tile.blockWarded.name
Thaumcraft:blockHole, Пустое место
Thaumcraft:blockPortalEldritch, Древний портал
Thaumcraft:blockEssentiaReservoir:0, Резервуар эссенции
Thaumcraft:blockEldritchNothing, tile.blockPortalNothing.name
Thaumcraft:blockStairsArcaneStone, Лестница из магического камня
Thaumcraft:blockStairsGreatwood, Лестница из великого дерева
Thaumcraft:blockStairsSilverwood, Лестница из серебряного дерева
Thaumcraft:blockStairsEldritch, Лестница из древнего камня
Thaumcraft:blockCosmeticSlabWood:0, Плита из великого дерева
Thaumcraft:blockCosmeticSlabWood:1, Плита из серебряного дерева
Thaumcraft:blockCosmeticSlabStone:0, Плита из магического камня
Thaumcraft:blockCosmeticSlabStone:1, Плита из древнего камня
Thaumcraft:blockCosmeticDoubleSlabWood, Wood Slab
Thaumcraft:blockCosmeticDoubleSlabStone, Stone Slab
Thaumcraft:blockLootUrn:0, Старая ваза
Thaumcraft:blockLootUrn:1, Старая ваза
Thaumcraft:blockLootUrn:2, Старая ваза
Thaumcraft:blockLootCrate:0, Забытый ящик
Thaumcraft:blockLootCrate:1, Забытый ящик
Thaumcraft:blockLootCrate:2, Забытый ящик
Botania:flower:0, Мистический белый цветок
Botania:flower:1, Мистический оранжевый цветок
Botania:flower:2, Мистический сиреневый цветок
Botania:flower:3, Мистический светло-синий цветок
Botania:flower:4, Мистический жёлтый цветок
Botania:flower:5, Мистический лаймовый цветок
Botania:flower:6, Мистический розовый цветок
Botania:flower:7, Мистический серый цветок
Botania:flower:8, Мистический светло-серый цветок
Botania:flower:9, Мистический бирюзовый цветок
Botania:flower:10, Мистический фиолетовый цветок
Botania:flower:11, Мистический синий цветок
Botania:flower:12, Мистический коричневый цветок
Botania:flower:13, Мистический зелёный цветок
Botania:flower:14, Мистический красный цветок
Botania:flower:15, Мистический чёрный цветок
Botania:altar:0, Лепестковый аптекарь
Botania:altar:1, Лесной лепестковый аптекарь
Botania:altar:2, Луговой лепестковый аптекарь
Botania:altar:3, Горный лепестковый аптекарь
Botania:altar:4, Грибной лепестковый аптекарь
Botania:altar:5, Болотный лепестковый аптекарь
Botania:altar:6, Пустынный лепестковый аптекарь
Botania:altar:7, Таёжный лепестковый аптекарь
Botania:altar:8, Холмистый лепестковый аптекарь
Botania:livingrock:0, Жизнекамень
Botania:livingrock:1, Кирпич из жизнекамня
Botania:livingrock:2, Замшелый кирпич из жизнекамня
Botania:livingrock:3, Потрескавшийся кирпич из жизнекамня
Botania:livingrock:4, Обрамленный кирпич из жизнекамня
Botania:livingwood:0, Жизнедерево
Botania:livingwood:1, Доски из жизнедерева
Botania:livingwood:2, Замшелые доски из жизнедерева
Botania:livingwood:3, Обрамленное жизнедерево
Botania:livingwood:4, Резное жизнедерево
Botania:livingwood:5, Светящееся жизнедерево
Botania:specialFlower, tile.specialFlower.name
Botania:spreader:0, Распространитель маны
Botania:spreader:1, Красный распространитель маны
Botania:spreader:2, Эльфийский распространитель маны
Botania:spreader:3, Распространитель маны Гайи
Botania:pool:0, Бассейн маны
Botania:pool:2, Бассейн разбавленной маны
Botania:pool:3, Мифический бассейн маны
Botania:pool:1, Вечно наполненный бассейн
Botania:runeAltar, tile.runeAltar.name
Botania:unstableBlock:0, Белый нестабильный куб
Botania:unstableBlock:1, Оранжевый нестабильный куб
Botania:unstableBlock:2, Сиреневый нестабильный куб
Botania:unstableBlock:3, Светло-синий нестабильный куб
Botania:unstableBlock:4, Жёлтый нестабильный куб
Botania:unstableBlock:5, Лаймовый нестабильный куб
Botania:unstableBlock:6, Розовый нестабильный куб
Botania:unstableBlock:7, Серый нестабильный куб
Botania:unstableBlock:8, Светло-серый нестабильный куб
Botania:unstableBlock:9, Бирюзовый нестабильный куб
Botania:unstableBlock:10, Фиолетовый нестабильный куб
Botania:unstableBlock:11, Синий нестабильный куб
Botania:unstableBlock:12, Коричневый нестабильный куб
Botania:unstableBlock:13, Зелёный нестабильный куб
Botania:unstableBlock:14, Красный нестабильный куб
Botania:unstableBlock:15, Чёрный нестабильный куб
Botania:pylon:0, Пилон маны
Botania:pylon:1, Природный пилон
Botania:pylon:2, Гайа пилон
Botania:pistonRelay, tile.pistonRelay.name
Botania:distributor, tile.distributor.name
Botania:manaBeacon:0, Белый нестабильный маяк
Botania:manaBeacon:1, Оранжевый нестабильный маяк
Botania:manaBeacon:2, Сиреневый нестабильный маяк
Botania:manaBeacon:3, Светло-синий нестабильный маяк
Botania:manaBeacon:4, Жёлтый нестабильный маяк
Botania:manaBeacon:5, Лаймовый нестабильный маяк
Botania:manaBeacon:6, Розовый нестабильный маяк
Botania:manaBeacon:7, Серый нестабильный маяк
Botania:manaBeacon:8, Светло-серый нестабильный маяк
Botania:manaBeacon:9, Бирюзовый нестабильный маяк
Botania:manaBeacon:10, Фиолетовый нестабильный маяк
Botania:manaBeacon:11, Синий нестабильный маяк
Botania:manaBeacon:12, Коричневый нестабильный маяк
Botania:manaBeacon:13, Зелёный нестабильный маяк
Botania:manaBeacon:14, Красный нестабильный маяк
Botania:manaBeacon:15, Чёрный нестабильный маяк
Botania:manaVoid, tile.manaVoid.name
Botania:manaDetector, tile.manaDetector.name
Botania:enchanter, Осмотический стол зачарований
Botania:turntable, tile.turntable.name
Botania:tinyPlanetBlock, tile.tinyPlanetBlock.name
Botania:alchemyCatalyst, tile.alchemyCatalyst.name
Botania:openCrate:0, Открытый ящик
Botania:openCrate:1, Сборочный ящик
Botania:forestEye, tile.forestEye.name
Botania:storage:0, Блок манастали
Botania:storage:1, Блок террастали
Botania:storage:2, Блок элементия
Botania:storage:3, Блок манаалмазов
Botania:storage:4, Блок камня дракона
Botania:forestDrum:0, Барабан дикой природы
Botania:forestDrum:1, Барабан сбора
Botania:forestDrum:2, Барабан покрытия
Botania:shinyFlower:0, Светящийся белый цветок
Botania:shinyFlower:1, Светящийся оранжевый цветок
Botania:shinyFlower:2, Светящийся сиреневый цветок
Botania:shinyFlower:3, Светящийся светло-синий цветок
Botania:shinyFlower:4, Светящийся жёлтый цветок
Botania:shinyFlower:5, Светящийся лаймовый цветок
Botania:shinyFlower:6, Светящийся розовый цветок
Botania:shinyFlower:7, Светящийся серый цветок
Botania:shinyFlower:8, Светящийся светло-серый цветок
Botania:shinyFlower:9, Светящийся бирюзовый цветок
Botania:shinyFlower:10, Светящийся фиолетовый цветок
Botania:shinyFlower:11, Светящийся синий цветок
Botania:shinyFlower:12, Светящийся коричневый цветок
Botania:shinyFlower:13, Светящийся зелёный цветок
Botania:shinyFlower:14, Светящийся красный цветок
Botania:shinyFlower:15, Светящийся чёрный цветок
Botania:platform:0, Заумная платформа
Botania:platform:1, Спектральная платформа
Botania:platform:2, Нерушимая платформа
Botania:alfheimPortal, tile.alfheimPortal.name
Botania:dreamwood:0, Древесина мечтаний
Botania:dreamwood:1, Доски из древесины мечтаний
Botania:dreamwood:2, Замшелые доски из древесины мечтаний
Botania:dreamwood:3, Обрамленная древесина мечтаний
Botania:dreamwood:4, Резная древесина мечтаний
Botania:dreamwood:5, Светящаяся древесина мечтаний
Botania:conjurationCatalyst, tile.conjurationCatalyst.name
Botania:bifrost, tile.bifrost.name
Botania:solidVine, tile.solidVine.name
Botania:buriedPetals:0, Закопанный белый лепесток
Botania:buriedPetals:1, Закопанный оранжевый лепесток
Botania:buriedPetals:2, Закопанный сиреневый лепесток
Botania:buriedPetals:3, Закопанный светло-синий лепесток
Botania:buriedPetals:4, Закопанный жёлтый лепесток
Botania:buriedPetals:5, Закопанный лаймовый лепесток
Botania:buriedPetals:6, Закопанный розовый лепесток
Botania:buriedPetals:7, Закопанный серый лепесток
Botania:buriedPetals:8, Закопанный светло-серый лепесток
Botania:buriedPetals:9, Закопанный бирюзовый лепесток
Botania:buriedPetals:10, Закопанный фиолетовый лепесток
Botania:buriedPetals:11, Закопанный синий лепесток
Botania:buriedPetals:12, Закопанный коричневый лепесток
Botania:buriedPetals:13, Закопанный зелёный лепесток
Botania:buriedPetals:14, Закопанный красный лепесток
Botania:buriedPetals:15, Закопанный чёрный лепесток
Botania:prismarine:0, Призмарин
Botania:prismarine:1, Призмариновые кирпичи
Botania:prismarine:2, Тёмный призмарин
Botania:seaLamp, tile.seaLamp.name
Botania:miniIsland:0, Парящий белый цветок
Botania:miniIsland:1, Парящий оранжевый цветок
Botania:miniIsland:2, Парящий сиреневый цветок
Botania:miniIsland:3, Парящий светло-синий цветок
Botania:miniIsland:4, Парящий жёлтый цветок
Botania:miniIsland:5, Парящий лаймовый цветок
Botania:miniIsland:6, Парящий розовый цветок
Botania:miniIsland:7, Парящий серый цветок
Botania:miniIsland:8, Парящий светло-серый цветок
Botania:miniIsland:9, Парящий бирюзовый цветок
Botania:miniIsland:10, Парящий фиолетовый цветок
Botania:miniIsland:11, Парящий синий цветок
Botania:miniIsland:12, Парящий коричневый цветок
Botania:miniIsland:13, Парящий зелёный цветок
Botania:miniIsland:14, Парящий красный цветок
Botania:miniIsland:15, Парящий чёрный цветок
Botania:tinyPotato, tile.tinyPotato.name
Botania:spawnerClaw, tile.spawnerClaw.name
Botania:reedBlock, tile.reedBlock.name
Botania:thatch, tile.thatch.name
Botania:customBrick:0, Адский кирпич
Botania:customBrick:1, Душевный кирпич
Botania:customBrick:2, Ледяной кирпич
Botania:customBrick:3, Черепица
Botania:customBrick:4, Азулежу
Botania:customBrick:5, Азулежу
Botania:customBrick:6, Азулежу
Botania:customBrick:7, Азулежу
Botania:customBrick:8, Азулежу
Botania:customBrick:9, Азулежу
Botania:customBrick:10, Азулежу
Botania:customBrick:11, Азулежу
Botania:customBrick:12, Азулежу
Botania:customBrick:13, Азулежу
Botania:customBrick:14, Азулежу
Botania:customBrick:15, Азулежу
Botania:enderEyeBlock, tile.enderEyeBlock.name
Botania:starfield, tile.starfield.name
Botania:rfGenerator, tile.rfGenerator.name
Botania:elfGlass, tile.elfGlass.name
Botania:brewery, tile.brewery.name
Botania:manaGlass, tile.manaGlass.name
Botania:terraPlate, tile.terraPlate.name
Botania:redStringContainer, tile.redStringContainer.name
Botania:redStringDispenser, tile.redStringDispenser.name
Botania:redStringFertilizer, tile.redStringFertilizer.name
Botania:redStringComparator, tile.redStringComparator.name
Botania:redStringRelay, tile.redStringRelay.name
Botania:floatingSpecialFlower, tile.floatingSpecialFlower.name
Botania:manaFlame, tile.manaFlame.name
Botania:prism, tile.prism.name
Botania:dirtPath, tile.dirtPath.name
Botania:enchantedSoil, tile.enchantedSoil.name
Botania:petalBlock:0, Белый лепестковый блок
Botania:petalBlock:1, Оранжевый лепестковый блок
Botania:petalBlock:2, Пурпурный лепестковый блок
Botania:petalBlock:3, Голубой лепестковый блок
Botania:petalBlock:4, Жёлтый лепестковый блок
Botania:petalBlock:5, Зеленый лепестковый блок
Botania:petalBlock:6, Розовый лепестковый блок
Botania:petalBlock:7, Серый лепестковый блок
Botania:petalBlock:8, Светло-серый лепестковый блок
Botania:petalBlock:9, Бирюзовый лепестковый блок
Botania:petalBlock:10, Фиолетовый лепестковый блок
Botania:petalBlock:11, Голубой лепестковый блок
Botania:petalBlock:12, Коричневый лепестковый блок
Botania:petalBlock:13, Зеленый лепестковый блок
Botania:petalBlock:14, Красный лепестковый блок
